standard_source,standard_target
EGFR,PTK2
LCK,PTK2
LYN,PTK2
JAK2,PTK2
TP53,PTK2
ERBB2,PTK2
MET,PTK2
RET,PTK2
NEO1,PTK2
TLN1,PTK2
INSR,PTK2
PDGFRB,PTK2
NRG1,PTK2
SDC4,PTK2
SYK,PTK2
PTPRH,PTK2
PTPN11,PTK2
EPHB2,PTK2
CXCR4,PTK2
PDGFRA,PTK2
EFNA1,PTK2
EPHA2,PTK2
ITGB1,PTK2
DCC,PTK2
EZR,PTK2
ITGB4,PTK2
PTPRG,PTK2
ITGB3,PTK2
ITGA5,PTK2
ITGB2,PTK2
ITGA8,PTK2
ITGAV,PTK2
ITGB5,PTK2
FYN,BSG
CAV1,KDR
SRC,KDR
PTPN6,KDR
PTPRJ,KDR
VEGFA,KDR
PTPN11,KDR
PTPRB,KDR
VTN,KDR
VEGFD,KDR
PTPRG,KDR
VEGFC,KDR
NRP1,KDR
SEMA6D,KDR
F7,F3
ADAM17,TNF
SRC,STAT3
NTRK1,STAT3
EGFR,STAT3
LCK,STAT3
LYN,STAT3
JAK2,STAT3
JAK1,STAT3
PIK3R1,STAT3
LEPR,STAT3
PTPRD,STAT3
CCND1,STAT3
RET,STAT3
IL22,STAT3
EPO,STAT3
IL10,STAT3
IFNG,STAT3
KITLG,STAT3
TYK2,STAT3
IL6,STAT3
EGF,STAT3
PDGFRB,STAT3
NGF,STAT3
BTK,STAT3
PTPN6,STAT3
MAP3K1,STAT3
SYK,STAT3
PTPN11,STAT3
IL2RB,STAT3
CSF3,STAT3
CSF2,STAT3
HGF,STAT3
IL6ST,STAT3
IL2RA,STAT3
IL6R,STAT3
LEP,STAT3
IL11,STAT3
PTPRT,STAT3
FGFR3,STAT3
BDNF,STAT3
FGFR4,STAT3
PDIA3,STAT3
PTPRG,STAT3
PTPRM,STAT3
DRD2,GNAI3
OPRM1,GNAI3
HTR1A,GNAI3
SMO,GNAI3
OPRL1,GNAI3
MTNR1A,GNAI3
CXCR4,GNAI3
CCR5,GNAI3
ARRB2,GNAI3
SSTR2,GNAI3
PTAFR,GNAI3
ADRA2A,GNAI3
ADORA1,GNAI3
DRD3,GNAI3
OPRD1,GNAI3
LPAR1,GNAI3
S1PR1,GNAI3
MTNR1B,GNAI3
DRD2,GNAI1
EGFR,GNAI1
OPRM1,GNAI1
HTR1A,GNAI1
SMO,GNAI1
OPRL1,GNAI1
MTNR1A,GNAI1
F2R,GNAI1
CXCR4,GNAI1
CCR5,GNAI1
ARRB2,GNAI1
SSTR2,GNAI1
HTR2A,GNAI1
HTR4,GNAI1
ADRA2A,GNAI1
DRD3,GNAI1
OPRD1,GNAI1
LPAR3,GNAI1
LPAR2,GNAI1
APLNR,GNAI1
GNB1,GNAI1
S1PR3,GNAI1
LPAR1,GNAI1
FPR1,GNAI1
S1PR1,GNAI1
EDNRB,GNAI1
HTR1D,GNAI1
MTNR1B,GNAI1
GRM2,GNAI1
SMO,GNAI2
CXCR4,GNAI2
CCR5,GNAI2
ARRB2,GNAI2
CCK,CCKBR
GAST,CCKBR
DRD2,SLC6A3
GRM1,GNAQ
MTNR1A,GNAQ
GRK2,GNAQ
PTAFR,GNAQ
HTR2A,GNAQ
CHRM1,GNAQ
ADRA1A,GNAQ
RGS19,GNAQ
F2RL1,GNAQ
LPAR3,GNAQ
EDNRA,GNAQ
CCKBR,GNAQ
S1PR3,GNAQ
LPAR1,GNAQ
CHRM3,GNAQ
ADRA1B,GNAQ
HTR6,GNAQ
AGTR1,GNAQ
PTGIR,GNAQ
HTR2C,GNAQ
TBXA2R,GNAQ
TSHR,GNAQ
CHRM1,GNA11
ADRA1A,GNA11
EDNRA,GNA11
ADRA1B,GNA11
ADCYAP1R1,GNAS
HTR4,GNAS
GNAS,GNAS
ADRB2,GNAS
ADORA2A,GNAS
ADORA2B,GNAS
GNB1,GNAS
PTGFR,GNAS
SCTR,GNAS
F2R,GNA15
SRC,JAK2
JAK1,JAK2
KIT,JAK2
COMPLEX:IL6R_IL6ST,JAK2
COMPLEX:EPO_EPOR,JAK2
COMPLEX:IFNGR1_IFNGR2,JAK2
IFNG,JAK2
PDGFRB,JAK2
ERBB3,JAK2
IL4R,JAK2
GHR,JAK2
PRLR,JAK2
PTPN6,JAK2
PTPN11,JAK2
IL2RG,JAK2
IL6ST,JAK2
PTPRC,JAK2
CXCR4,JAK2
IL1B,JAK2
IL12RB1,JAK2
IFNGR1,JAK2
OSMR,JAK2
CRLF2,JAK2
IL23R,JAK2
IFNGR2,JAK2
LIFR,JAK2
CSF3R,JAK2
MPL,JAK2
CSF2RA,JAK2
PTPRG,JAK2
DNAJA3,JAK2
EPOR,PIK3R1
FYN,PIK3R1
NTRK1,PIK3R1
EGFR,PIK3R1
LCK,PIK3R1
LYN,PIK3R1
JAK2,PIK3R1
JAK1,PIK3R1
IGF1R,PIK3R1
PTK2,PIK3R1
HRAS,PIK3R1
KIT,PIK3R1
ERBB2,PIK3R1
MET,PIK3R1
AR,PIK3R1
CTNNB1,PIK3R1
INSR,PIK3R1
EGF,PIK3R1
PDGFRB,PIK3R1
ERBB3,PIK3R1
ESR1,PIK3R1
GHR,PIK3R1
PTPN6,PIK3R1
PTPRJ,PIK3R1
CBL,PIK3R1
SYK,PIK3R1
TGFBR1,PIK3R1
TGFBR2,PIK3R1
PTPN11,PIK3R1
CD19,PIK3R1
IL7R,PIK3R1
IL2RG,PIK3R1
ERBB4,PIK3R1
CRKL,PIK3R1
PIK3CA,PIK3R1
COMPLEX:EGFR_ERBB3,PIK3R1
YWHAZ,PIK3R1
IL1R1,PIK3R1
ICOS,PIK3R1
FGFR1,PIK3R1
CD2,PIK3R1
IRS4,PIK3R1
PDGFRA,PIK3R1
FLT1,PIK3R1
EPHA2,PIK3R1
TEK,PIK3R1
TYRO3,PIK3R1
EGFR,PTPN1
ITGB3,PTPN1
EGFR,CRKL
BCR,CRKL
ITGB1,CRKL
SRC,BTK
LYN,BTK
JAK1,BTK
SYK,BTK
PTPRG,BTK
LYN,INPP5D
SRC,CBL
FYN,CBL
LCK,CBL
INSR,CBL
PTPN6,CBL
SYK,CBL
BCR,CBL
LRIG1,CBL
EPOR,PLCG1
SRC,PLCG1
FYN,PLCG1
NTRK1,PLCG1
EGFR,PLCG1
LCK,PLCG1
LYN,PLCG1
JAK2,PLCG1
PTK2,PLCG1
ERBB2,PLCG1
MET,PLCG1
EGF,PLCG1
PDGFRB,PLCG1
ERBB3,PLCG1
BTK,PLCG1
GHR,PLCG1
PTPRJ,PLCG1
CBL,PLCG1
SYK,PLCG1
FGFR1,PLCG1
KDR,PLCG1
PDGFRA,PLCG1
FGFR2,PLCG1
FLT1,PLCG1
AXL,PLCG1
FGFR3,PLCG1
NTRK3,PLCG1
EEF1A1,PLCG1
FGFR4,PLCG1
PIK3R1,MAPK8
HRAS,MAPK8
RET,MAPK8
PRKCZ,MAPK8
MAP3K1,MAPK8
CRKL,MAPK8
JAK1,TYK2
LEPR,TYK2
COMPLEX:IFNAR1_IFNAR2,TYK2
IFNB1,TYK2
IL4,TYK2
GHR,TYK2
PTPN6,TYK2
IL6ST,TYK2
PTPRC,TYK2
IL1B,TYK2
IFNAR2,TYK2
IL23R,TYK2
IL20RA,TYK2
LIFR,TYK2
IL10RB,TYK2
CSF3R,TYK2
MPL,TYK2
FYN,MAPK14
LCK,MAPK14
RET,MAPK14
SYK,MAPK14
GRK2,MAPK14
LCK,JAK3
IL4R,JAK3
PTPN6,JAK3
PTPN11,JAK3
IL2RG,JAK3
PTPRC,JAK3
IL9R,JAK3
CXCR4,JAK3
CCR5,JAK3
JAK2,TEC
KIT,TEC
EGFR,JAK1
JAK2,JAK1
LEPR,JAK1
ERBB2,JAK1
PRKCZ,JAK1
COMPLEX:IL6R_IL6ST,JAK1
ISG15,JAK1
COMPLEX:IFNGR1_IFNGR2,JAK1
COMPLEX:IFNAR1_IFNAR2,JAK1
IFNB1,JAK1
IL4R,JAK1
GHR,JAK1
PTPN6,JAK1
IL2RG,JAK1
