standard_source,standard_target
BMP2,ACVR2A
GDF5,ACVR2A
BMP6,ACVR2A
CRIPTO,ACVR2A
GDF11,ACVR2A
NODAL,ACVR2A
GDF2,ACVR2A
INHBB,ACVR2A
BMP10,ACVR2A
INHA,ACVR2A
GDF7,ACVR2A
GDF9,ACVR2A
INHBE,ACVR2A
INHBC,ACVR2A
INHBA,ACVR1
BMP7,ACVR1
BMP2,ACVR1
TGFBR1,ACVR1
BMPR2,ACVR1
ACVR2B,ACVR1
AMH,ACVR1
BMP6,ACVR1
BMP8B,ACVR1
GDF2,ACVR1
ACVR2A,ACVR1
INHBB,ACVR1
BMP10,ACVR1
INHBC,ACVR1
BMP7,BMPR1A
BMP2,BMPR1A
BMPR2,BMPR1A
GDF5,BMPR1A
ACVR2B,BMPR1A
BAMBI,BMPR1A
BMP6,BMPR1A
GDF6,BMPR1A
BMP4,BMPR1A
BMP8B,BMPR1A
NOG,BMPR1A
BMP10,BMPR1A
BMP5,BMPR1A
GDF7,BMPR1A
GDF9,BMPR1A
BMP7,BMPR2
BMP2,BMPR2
BMP15,BMPR2
GDF5,BMPR2
BMP6,BMPR2
GDF6,BMPR2
BMP4,BMPR2
GDF2,BMPR2
NOG,BMPR2
BMP10,BMPR2
GDF7,BMPR2
GDF9,BMPR2
BMP7,BMPR1B
BMP2,BMPR1B
BMP15,BMPR1B
ROR2,BMPR1B
BMPR2,BMPR1B
GDF5,BMPR1B
ACVR2B,BMPR1B
BAMBI,BMPR1B
BMP6,BMPR1B
BMP4,BMPR1B
BMPR1A,BMPR1B
BMP10,BMPR1B
GDF9,BMPR1B
HSP90AA1,TGFBR1
TGFBR2,TGFBR1
TGFB1,TGFBR1
TGFB3,TGFBR1
TGFB2,TGFBR1
BAMBI,TGFBR1
GDF9,TGFBR1
ACVR2B,ACVR1C
NODAL,ACVR1C
INHBB,ACVR1C
PCNA,NCR2
KMT2E,NCR2
EPHB2,NRCAM
CNTN1,NRCAM
EPHB1,NRCAM
NFASC,NRCAM
PRKCZ,MAPK10
ARRB2,MAPK10
CTSL,CD74
HLA-DMA,CD74
HLA-DMB,CD74
MIF,CD74
APP,FPR2
ANXA1,FPR2
MT-RNR2,FPR2
SAA1,FPR2
SEMA3A,PLXNA4
RELN,VLDLR
APOE,VLDLR
TFPI,VLDLR
LRPAP1,VLDLR
LAMA2,RPSA
LAMA1,RPSA
LAMB2,RPSA
PRND,RPSA
HMGB1,AGER
S100A8,AGER
S100A9,AGER
APOE,SORL1
COL18A1,GPC1
SLIT2,GPC1
SLIT1,GPC1
GRK2,ADRA2A
SERPINC1,F9
F7,F9
CD40LG,CD40
LTB,CD40
VWF,GP1BA
FN1,COMPLEX:ITGA5_ITGB1
CCN2,COMPLEX:ITGA5_ITGB1
COL1A1,COMPLEX:ITGA1_ITGB1
SEMA7A,COMPLEX:ITGA1_ITGB1
COL4A6,COMPLEX:ITGA1_ITGB1
COL4A3,COMPLEX:ITGA1_ITGB1
COL4A4,COMPLEX:ITGA1_ITGB1
COL4A5,COMPLEX:ITGA1_ITGB1
COL4A2,COMPLEX:ITGA1_ITGB1
COL4A1,COMPLEX:ITGA1_ITGB1
COL1A2,COMPLEX:ITGA1_ITGB1
TGFBI,COMPLEX:ITGA3_ITGB1
COMPLEX:LAMA1_LAMB1_LAMC1,COMPLEX:ITGA6_ITGB1
ADAM9,ITGAV
FN1,ITGAV
VTN,ITGAV
TNC,ITGAV
SPP1,ITGAV
COL4A1,ITGAV
ICAM4,ITGAV
IL1A,IL1RAP
IL1B,IL1RAP
IL1RL1,IL1RAP
IL33,IL1RAP
IL18,IL1RAPL1
CCND1,SUV39H1
CDK4,SUV39H1
RPL11,TRRAP
RPL11,NCL
PRKCZ,NCL
THBS1,CD47
THBS2,CD47
NTN3,NEO1
NTN1,NEO1
RGMA,NEO1
HSPD1,PRNP
HSP90AA1,SMYD2
INHBA,BAMBI
TGFBR1,TGFBR3
TGFBR2,TGFBR3
TGFB1,TGFBR3
TGFB3,TGFBR3
TGFB2,TGFBR3
INHA,TGFBR3
HRAS,PLCE1
HRAS,AFDN
BCR,YWHAQ
YWHAZ,YWHAQ
MST1R,YWHAQ
SFN,YWHAQ
HSP90AA1,MOS
ADGRV1,ADCY6
GNAI2,ADCY6
GNAI1,ADCY6
GNAI3,ADCY6
GNAS,ADCY6
ADGRV1,USH2A
ADGRV1,VEZT
WNT1,RYK
WNT5A,RYK
WNT3A,RYK
WNT3,RYK
WNT1,LRP5
DKK1,LRP5
FZD8,LRP5
WNT3A,LRP5
WNT2,LRP5
WNT8A,LRP5
WNT10B,LRP5
WNT6,LRP5
WNT7B,LRP5
WNT2B,LRP5
WNT9A,LRP5
WNT9B,LRP5
APOE,LRP5
SOST,LRP5
DKK4,LRP5
WNT1,FZD8
WNT5A,FZD8
RYK,FZD8
WNT3A,FZD8
WNT2,FZD8
WNT3,FZD8
WNT8A,FZD8
WNT5B,FZD8
WNT1,FZD3
WNT5A,FZD3
WNT4,FZD3
WNT3A,FZD3
WNT2,FZD3
WNT11,FZD3
WNT5B,FZD3
SFRP1,FZD6
WNT5A,FZD6
WNT4,FZD6
WNT3A,FZD6
WNT1,FZD1
WNT5A,FZD1
WNT3A,FZD1
WNT2,FZD1
WNT3,FZD1
WNT10B,FZD1
WNT6,FZD1
WNT7B,FZD1
LRP1,FZD1
WNT5A,ROR2
GDF5,ROR2
WNT1,FZD9
WNT2,FZD9
WNT7A,FZD9
SFRP2,FZD5
WNT5A,FZD5
ROR2,FZD5
WNT3A,FZD5
WNT2,FZD5
WNT7A,FZD5
WNT10B,FZD5
WNT9B,FZD5
WNT5A,FZD7
WNT3A,FZD7
WNT2,FZD7
WNT3,FZD7
WNT7A,FZD7
WNT8A,FZD7
WNT11,FZD7
WNT7A,FZD10
WNT7B,FZD10
SFRP1,FZD2
WNT5A,FZD2
ROR2,FZD2
WNT4,FZD2
WNT3A,FZD2
WNT2,FZD2
ZNRF3,FZD2
WNT5A,FZD4
NDP,FZD4
WNT2,FZD4
WNT7B,FZD4
WNT2B,FZD4
SEMA4D,PLXNB1
MMP7,MMP1
TIMP1,MMP1
AGT,AGTR2
AR,NCOR1
EGF,COMPLEX:EGFR_ERBB2
LRFN5,PTPRD
DKK1,WNT3A
PORCN,WNT3A
WLS,WNT3A
FRZB,WNT5A
DKK1,WNT6
CDH1,COMPLEX:ITGAE_ITGB7
COL1A1,COMPLEX:ITGA2_ITGB1
COL2A1,COMPLEX:ITGA2_ITGB1
COL4A6,COMPLEX:ITGA2_ITGB1
COL21A1,COMPLEX:ITGA2_ITGB1
COL4A3,COMPLEX:ITGA2_ITGB1
COL4A4,COMPLEX:ITGA2_ITGB1
COL4A2,COMPLEX:ITGA2_ITGB1
COL4A1,COMPLEX:ITGA2_ITGB1
CDH1,ITGAE
NPPA,VASP
LPP,VASP
ZYX,VASP
ARF1,PIP5K1A
ARF6,PIP5K1A
FN1,ITGA2
COL1A1,ITGA2
COL2A1,ITGA2
COL4A1,ITGA2
COL1A2,ITGA2
HSPG2,ITGA2
LAMA1,ITGA2
CHAD,ITGA2
LAMA5,CD151
LAMB1,CD151
DUSP18,CD151
SEMA5A,PLXNB3
VEGFA,NRP1
FGF2,NRP1
L1CAM,NRP1
SEMA3B,NRP1
SEMA3A,NRP1
PGF,NRP1
FGA,ITGAX
ICAM1,ITGAX
PSPN,GFRA4
GDNF,GFRA2
NRTN,GFRA2
ARTN,GFRA3
AR,CYP3A5
AR,ANO7
AR,CASP2
AR,KLK4
AR,STEAP4
AR,TMPRSS2
AR,SCNN1A
AR,DDC
AR,PGC
ESR1,NCOA2
AR,NR5A1
ZNF653,NR5A1
SMO,GNB1
TBXA2R,GNB1
TRH,TRHR
PROK1,PROKR1
PROK2,PROKR1
CASP8,PSEN2
NCSTN,PSEN2
NEO1,HJV
TMPRSS6,HJV
SMO,GNB3
CDKN2A,KAT5
GPC3,SHH
PRKCI,ECT2
PRKCI,PARD3
PRKCZ,PARD3
NECTIN3,PARD3
PRKCZ,MARK2
PRKCZ,MARK3
FBXO45,PAWR
ERBIN,NOD2
HSP90AA1,PPP5C
GNA13,PPP5C
HSP90AA1,AHR
PRKCZ,CHAT
PRKCZ,AQP9
GNAI2,ADCY5
GNAI1,ADCY5
GNAI3,ADCY5
GNAS,ADCY5
GSN,FN1
HGF,FN1
THBS1,FN1
TNC,FN1
CCN2,FN1
FBLN1,FN1
BMP1,COL1A1
CTNNB1,DAPK2
EPO,DAPK2
CTNNB1,NR4A2
TSHR,SCRIB
TLN1,COMPLEX:ITGA2B_ITGB3
VWF,COMPLEX:ITGA2B_ITGB3
VCAM1,COMPLEX:ITGA4_ITGB1
FN1,COMPLEX:ITGAV_ITGB6
ICAM3,COMPLEX:ITGAD_ITGB2
COL1A1,COMPLEX:ITGA11_ITGB1
COL1A2,COMPLEX:ITGA11_ITGB1
TNC,COMPLEX:ITGA9_ITGB1
SPP1,COMPLEX:ITGA9_ITGB1
FN1,COMPLEX:ITGA8_ITGB1
VTN,COMPLEX:ITGA8_ITGB1
TNC,COMPLEX:ITGA8_ITGB1
NPNT,COMPLEX:ITGA8_ITGB1
COL2A1,COMPLEX:ITGA10_ITGB1
THBS1,ITGA2B
FN1,ITGA2B
COL2A1,ITGA2B
VWF,ITGA2B
COL1A2,ITGA2B
ICAM4,ITGA2B
WNT5A,NLK
WNT5A,ROR1
APOB,LDLR
APOE,LDLR
PF4,LDLR
PCSK9,LDLR
EFNA1,EPHA7
EFNA2,EPHA7
EFNA5,EPHA7
EFNA3,EPHA7
EFNA4,EPHA7
CLU,LRP2
AGT,LRP2
AVP,AQP2
POMC,OPRK1
PDYN,OPRK1
PENK,OPRK1
IL22,IL10RB
IL10,IL10RB
IL26,IL10RB
IFNL1,IL10RB
IFNL2,IL10RB
IFNL3,IL10RB
IL22,IL20RA
IL24,IL20RA
IL20,IL20RA
IL26,IL20RA
IL19,IL20RA
IL22,IL22RA2
IL22,IL22RA1
IL24,IL22RA1
IL20,IL22RA1
EFNB2,EPHB4
EFNB1,EPHB4
COMPLEX:IL12B_IL23A,IL12RB1
IL12A,IL12RB1
IL23A,IL12RB1
IL12B,IL12RB1
IL23A,COMPLEX:IL12RB1_IL23R
TIMD4,HAVCR1
TRAF2,NR2C2
IL10RB,IFNLR1
IFNL1,IFNLR1
IFNL2,IFNLR1
IFNL3,IFNLR1
CD70,CD27
LBP,CD14
PTPN6,ROS1
HLA-G,KLRD1
HLA-E,KLRD1
HLA-C,KLRD1
HLA-A,KLRD1
HLA-B,KLRD1
TNFSF14,TNFRSF14
LTA,TNFRSF14
ESR1,CXCL12
B2M,HLA-E
IFNB1,COMPLEX:IFNAR1_IFNAR2
IFNA13,COMPLEX:IFNAR1_IFNAR2
IFNW1,COMPLEX:IFNAR1_IFNAR2
COMPLEX:TLR2_TLR6,TIRAP
TLR4,TIRAP
BTK,TIRAP
TLR2,TIRAP
CCN2,ITGAM
ICAM4,ITGAM
CCN1,ITGAM
CRP,OLR1
STUB1,LRRK2
IL4,IL13RA1
IL13,IL13RA1
ESR1,RARA
NR0B2,RARA
CCL5,GPR75
CCL19,CCRL2
TNFSF4,TNFRSF4
BMP7,COMPLEX:ACVR1_BMPR2
BMP6,COMPLEX:ACVR1_BMPR2
BMP8B,COMPLEX:ACVR1_BMPR2
BMP8A,COMPLEX:ACVR1_BMPR2
BMP5,COMPLEX:ACVR1_BMPR2
BMP7,COMPLEX:BMPR1A_BMPR1B_BMPR2
BMP2,COMPLEX:BMPR1A_BMPR1B_BMPR2
BMP4,COMPLEX:BMPR1A_BMPR1B_BMPR2
NOG,COMPLEX:BMPR1A_BMPR1B_BMPR2
BMP7,COMPLEX:BMPR1A_BMPR2
BMP2,COMPLEX:BMPR1A_BMPR2
GDF5,COMPLEX:BMPR1A_BMPR2
BMP6,COMPLEX:BMPR1A_BMPR2
GDF6,COMPLEX:BMPR1A_BMPR2
BMP4,COMPLEX:BMPR1A_BMPR2
BMP8B,COMPLEX:BMPR1A_BMPR2
BMP8A,COMPLEX:BMPR1A_BMPR2
BMP5,COMPLEX:BMPR1A_BMPR2
GDF7,COMPLEX:BMPR1A_BMPR2
BMP7,COMPLEX:BMPR1B_BMPR2
BMP2,COMPLEX:BMPR1B_BMPR2
BMP15,COMPLEX:BMPR1B_BMPR2
GDF5,COMPLEX:BMPR1B_BMPR2
BMP6,COMPLEX:BMPR1B_BMPR2
GDF6,COMPLEX:BMPR1B_BMPR2
BMP4,COMPLEX:BMPR1B_BMPR2
BMP8B,COMPLEX:BMPR1B_BMPR2
BMP8A,COMPLEX:BMPR1B_BMPR2
BMP5,COMPLEX:BMPR1B_BMPR2
GDF7,COMPLEX:BMPR1B_BMPR2
BMP7,COMPLEX:ACVR1_ACVR2B
BMP6,COMPLEX:ACVR1_ACVR2B
BMP8B,COMPLEX:ACVR1_ACVR2B
BMP8A,COMPLEX:ACVR1_ACVR2B
BMP5,COMPLEX:ACVR1_ACVR2B
BMP7,COMPLEX:ACVR2B_BMPR1A
BMP2,COMPLEX:ACVR2B_BMPR1A
GDF5,COMPLEX:ACVR2B_BMPR1A
BMP6,COMPLEX:ACVR2B_BMPR1A
GDF6,COMPLEX:ACVR2B_BMPR1A
BMP4,COMPLEX:ACVR2B_BMPR1A
BMP8B,COMPLEX:ACVR2B_BMPR1A
BMP8A,COMPLEX:ACVR2B_BMPR1A
BMP5,COMPLEX:ACVR2B_BMPR1A
GDF7,COMPLEX:ACVR2B_BMPR1A
BMP7,COMPLEX:ACVR2B_BMPR1B
BMP2,COMPLEX:ACVR2B_BMPR1B
GDF5,COMPLEX:ACVR2B_BMPR1B
BMP6,COMPLEX:ACVR2B_BMPR1B
GDF6,COMPLEX:ACVR2B_BMPR1B
BMP4,COMPLEX:ACVR2B_BMPR1B
BMP8B,COMPLEX:ACVR2B_BMPR1B
BMP8A,COMPLEX:ACVR2B_BMPR1B
BMP5,COMPLEX:ACVR2B_BMPR1B
GDF7,COMPLEX:ACVR2B_BMPR1B
BMP7,COMPLEX:ACVR1_ACVR2A
BMP6,COMPLEX:ACVR1_ACVR2A
BMP8B,COMPLEX:ACVR1_ACVR2A
BMP8A,COMPLEX:ACVR1_ACVR2A
BMP5,COMPLEX:ACVR1_ACVR2A
BMP7,COMPLEX:ACVR2A_BMPR1A
BMP2,COMPLEX:ACVR2A_BMPR1A
GDF5,COMPLEX:ACVR2A_BMPR1A
BMP6,COMPLEX:ACVR2A_BMPR1A
GDF6,COMPLEX:ACVR2A_BMPR1A
BMP4,COMPLEX:ACVR2A_BMPR1A
BMP8B,COMPLEX:ACVR2A_BMPR1A
BMP8A,COMPLEX:ACVR2A_BMPR1A
BMP5,COMPLEX:ACVR2A_BMPR1A
GDF7,COMPLEX:ACVR2A_BMPR1A
BMP7,COMPLEX:ACVR2A_BMPR1B
BMP2,COMPLEX:ACVR2A_BMPR1B
GDF5,COMPLEX:ACVR2A_BMPR1B
BMP6,COMPLEX:ACVR2A_BMPR1B
GDF6,COMPLEX:ACVR2A_BMPR1B
BMP4,COMPLEX:ACVR2A_BMPR1B
BMP8B,COMPLEX:ACVR2A_BMPR1B
BMP8A,COMPLEX:ACVR2A_BMPR1B
BMP5,COMPLEX:ACVR2A_BMPR1B
GDF7,COMPLEX:ACVR2A_BMPR1B
TGFBR1,ACVRL1
ACVR2B,ACVRL1
BAMBI,ACVRL1
GDF2,ACVRL1
BMP10,ACVRL1
AMH,AMHR2
BMP6,AMHR2
IL6,COMPLEX:IL6R_IL6ST
OXT,OXTR
AVP,OXTR
IL31,COMPLEX:IL31RA_OSMR
OSM,COMPLEX:IL6ST_OSMR
LIF,COMPLEX:IL6ST_LIFR
OSM,COMPLEX:IL6ST_LIFR
CTF1,COMPLEX:IL6ST_LIFR
IL11,COMPLEX:IL11RA_IL6ST
GRK2,SMO
SHH,SMO
PTCH1,SMO
PTCH2,SMO
PTPRG,LIMK1
H2AX,KAT2A
CDK4,KAT2A
CGA,FSHR
FSHB,FSHR
FGFR2,PGR
TNC,ITGA7
LAMA2,ITGA7
LAMA1,ITGA7
PCOLCE,BMP1
IL1A,IL1R2
IL1RN,IL1R2
IL1B,IL1R2
IL1A,COMPLEX:IL1R1_IL1RAP
IL1B,COMPLEX:IL1R1_IL1RAP
CTSG,C3
CFI,C3
COMPLEX:C3_CFB,C3
F2,THBD
PF4,THBD
HSP90AB1,KEAP1
DKK1,KREMEN1
DKK1,KREMEN2
AGRN,LRP4
COMPLEX:F3_F7,F7
F9,F7
HPN,F7
F2,F8
VWF,F8
SERPINC1,F10
F7,F10
TFPI,F10
F2,F5
ELANE,F5
F2,F2RL3
F2,GP9
F2,PROC
SERPINA5,PROC
EDN1,EDNRA
EDN2,EDNRA
FGA,PLAT
PLAU,PLAT
SERPINE1,PLAT
SERPINA5,PLAT
ANXA2,PLAT
RPS19,C5AR1
ANXA1,FPR1
GRK2,FPR1
NTN1,UNC5B
EDN1,EDNRB
EDN3,EDNRB
GRK2,OPRD1
POMC,OPRD1
PDYN,OPRD1
PENK,OPRD1
GNAS,ADCY9
CGA,LHCGR
CGB8,LHCGR
LHB,LHCGR
GNAS,ADCY4
GNB2,ADCY2
GNAS,ADCY2
GNB1,PLCB3
ANXA1,FPR3
MT-RNR2,FPR3
HEBP1,FPR3
HNRNPK,ALOX15
TNFSF14,TNFRSF6B
FASLG,TNFRSF6B
TNFSF15,TNFRSF6B
TNFSF13B,TNFRSF13C
TNFSF13B,TNFRSF13B
TNFSF13,TNFRSF13B
TNFSF13B,TNFRSF17
TNFSF13,TNFRSF17
RTN4,TNFRSF19
SHANK1,ADGRL1
RSPO1,LGR4
RSPO2,LGR4
RSPO3,LGR4
RSPO4,LGR4
ESR1,EBAG9
ESR1,SLC2A1
STOM,SLC2A1
NTN1,DSCAM
F2R,GNA13
SLC52A2,GNA13
LPAR3,GNA13
S1PR3,GNA13
LPAR1,GNA13
TBXA2R,GNA13
ADGRG1,GNA13
NR0B2,ESRRG
CTNND1,CDH3
ROR2,MAGED1
MAPT,TUBB3
IL13,IL13RA2
SELPLG,SELP
CD24,SELP
SYK,PIP5K1B
GNB2,KCNJ3
GNB2,CACNA1B
SYT1,STX3
ULBP2,KLRK1
MICB,KLRK1
ULBP3,KLRK1
RAET1E,KLRK1
ULBP1,KLRK1
RAET1L,KLRK1
RAET1G,KLRK1
ITGB1,KCNH2
LIF,LIFR
OSM,LIFR
CTF1,LIFR
CLCF1,LIFR
FAM3C,LIFR
IL24,IL20RB
IL20,IL20RB
IL19,IL20RB
CLCF1,CNTFR
CRLF1,CNTFR
IL11,IL11RA
SYK,IL15RA
IL15,IL15RA
NCOR1,PPARA
HUWE1,PPARA
NR0B2,PPARA
SIL1,HSPA5
VCAM1,ITGAD
COL4A1,ITGA1
COL2A1,ITGA10
COL1A1,ITGA11
COL1A2,ITGA11
FN1,ITGA8
VTN,ITGA8
NPNT,ITGA8
FAM20C,PCSK9
PF4,PROCR
ITGB1,ILK
ITGB3,ILK
GRK2,SLC9A5
ARRB2,SLC9A5
NTS,NTSR1
GRK2,ADIPOR1
ADIPOQ,ADIPOR1
GRK2,MC4R
POMC,MC4R
AGRP,MC4R
ASIP,MC4R
GRK2,STK3
PNOC,OPRL1
GRK2,CHRM2
NPFF,NPFFR2
NPVF,NPFFR2
TAC1,TACR1
TAC3,TACR1
TAC4,TACR1
ADM,GPR182
SST,SSTR5
CORT,SSTR5
HMGN2,PBRM1
IL1RL1,IRAK4
TGFBR1,FNTA
VEGFA,NRP2
VEGFD,NRP2
SEMA3B,NRP2
VEGFC,NRP2
SEMA3C,NRP2
SEMA3F,NRP2
PTGS2,PTGDR2
PTPN11,MAP3K4
GNRH1,GNRHR
GNRH2,GNRHR
TNFSF9,TNFRSF9
TNFSF18,TNFRSF18
HUWE1,MFN2
AGT,REN
CFD,CFB
EPHB2,SYNJ1
CXCL11,ACKR3
CXCL12,ACKR3
TGFB1,COMPLEX:TGFBR1_TGFBR2
TGFB1,COL2A1
MMP1,COL2A1
MMP13,COL2A1
FAM20C,P4HB
SFTPA1,SFTPA2
HLA-G,LILRB1
NR0B2,NR5A2
NR0B2,RXRB
NR0B2,NR1I2
NR0B2,THRA
NR0B2,RARB
NR0B2,NR1H2
NR0B2,NR1H3
NR0B2,ESRRB
NR0B2,ESRRA
H4C4,BRDT
H4C4,BRD2
SHH,PTCH1
DHH,PTCH1
IHH,PTCH1
SHH,PTCH2
DHH,PTCH2
IHH,PTCH2
SHH,HHIP
DHH,HHIP
IHH,HHIP
SHH,BOC
SHH,CDON
CDH2,CDON
CDH15,CDON
NTN3,CDON
CARD11,MALT1
RSPO1,LGR5
RSPO2,LGR5
RSPO3,LGR5
RSPO4,LGR5
IL1R1,IRAK2
IL36A,IL1RL2
IL36RN,IL1RL2
IL27,IL27RA
EBI3,IL27RA
FGFR1,AMOTL2
IL37,SIGIRR
CALR,SCARF1
IL12B,COMPLEX:IL12RB1_IL12RB2
IL31,IL31RA
AMH,COMPLEX:AMHR2_BMPR1A
AMH,COMPLEX:ACVR1_AMHR2
AMH,COMPLEX:AMHR2_BMPR1B
ADM,RAMP1
ADM2,RAMP1
CALCA,RAMP1
CALCB,RAMP1
IAPP,RAMP1
EFNA1,EPHA6
EFNA2,EPHA6
EFNA5,EPHA6
EFNA3,EPHA6
EFNA4,EPHA6
EFNA1,EPHA8
EFNA2,EPHA8
EFNA5,EPHA8
EFNA3,EPHA8
EFNA4,EPHA8
EFNA1,EPHA5
EFNA2,EPHA5
EFNA5,EPHA5
EFNA3,EPHA5
EFNA4,EPHA5
EFNB1,EPHB6
EFNB3,EPHB3
EFNB2,EPHB3
EFNB1,EPHB3
PARD3,PATJ
TSPAN33,ADAM10
HLA-G,KIR3DL1
HLA-A,KIR3DL1
HLA-F,KIR3DL1
HLA-B,KIR3DL1
IL33,IL1RL1
GHRL,GHSR
CORT,GHSR
LEAP2,GHSR
WNK3,SLC12A5
FGFR3,CILK1
NLGN1,NRXN3
NLGN2,NRXN3
NLGN3,NRXN3
NXPH1,NRXN3
NXPH3,NRXN3
NLGN1,NRXN2
NLGN2,NRXN2
NLGN3,NRXN2
NXPH1,NRXN2
NXPH3,NRXN2
SEMA4D,PLXNB2
DDR1,TM4SF1
PARD3,JAM2
PARD3,JAM3
OXT,AVPR2
AVP,AVPR2
OXT,AVPR1B
AVP,AVPR1B
OXT,AVPR1A
AVP,AVPR1A
ADM,CALCRL
ADM2,CALCRL
CALCA,CALCRL
CALCB,CALCRL
ADM,RAMP2
ADM2,RAMP2
CALCA,RAMP2
CALCB,RAMP2
IAPP,RAMP2
ADM,RAMP3
ADM2,RAMP3
CALCA,RAMP3
CALCB,RAMP3
IAPP,RAMP3
ADM,MRGPRX2
TAC1,MRGPRX2
CORT,MRGPRX2
GRP,GRPR
NMB,GRPR
GRP,BRS3
NMB,NMBR
APLN,APLNR
APELA,APLNR
RARRES2,CMKLR2
AGT,MAS1
KNG1,BDKRB1
RLN3,RXFP4
INSL5,RXFP4
KNG1,GPR135
CCK,CCKAR
SERPINE1,ELANE
SLPI,ELANE
PTDSS1,SCARB1
THBS1,LTBP1
RARRES2,CMKLR1
CRH,CRHR2
UCN,CRHR2
UCN2,CRHR2
UCN3,CRHR2
POMC,MC2R
ASIP,MC2R
LIPH,LPAR2
POMC,MC1R
AGRP,MC1R
ASIP,MC1R
POMC,MC3R
AGRP,MC3R
ASIP,MC3R
POMC,MC5R
AGRP,MC5R
ASIP,MC5R
PENK,MRGPRX1
PENK,OGFR
EDA,EDAR
EDA,EDA2R
NPPA,NPR3
NPPB,NPR3
NPPC,NPR3
OSTN,NPR3
NTN4,UNC5A
GAL,GALR2
SPX,GALR2
GALP,GALR2
GAL,GALR3
SPX,GALR3
GALP,GALR3
GCG,GCGR
GIP,GIPR
GDF15,GFRAL
MLN,MLNR
GHRH,GHRHR
NPPA,NPR1
NPPB,NPR1
NPPB,NPR2
NPPC,NPR2
CCL16,HRH4
RSPO1,LGR6
RSPO2,LGR6
RSPO3,LGR6
RSPO4,LGR6
RSPO1,RNF43
KISS1,KISS1R
PMCH,MCHR1
PMCH,MCHR2
ASIP,ATRN
TAC1,TACR2
TAC3,TACR2
TAC1,TACR3
TAC3,TACR3
NMS,NMUR1
NMU,NMUR1
NMS,NMUR2
NMU,NMUR2
ADCYAP1,VIPR2
VIP,VIPR2
VEGFC,VIPR2
NPB,NPBWR1
NPW,NPBWR1
NPB,NPBWR2
NPW,NPBWR2
SST,SSTR4
CORT,SSTR4
SST,SSTR1
CORT,SSTR1
SST,SSTR2
CORT,SSTR2
SST,SSTR3
CORT,SSTR3
NPFF,NPFFR1
NPVF,NPFFR1
NPS,NPSR1
NTS,NTSR2
HCRT,HCRTR2
SERPINF1,PNPLA2
PROK1,PROKR2
PROK2,PROKR2
PRLH,PRLHR
NPY,PRLHR
NPY,NPY2R
PYY,NPY2R
NPY,NPY4R
PPY,NPY4R
PYY,NPY4R
NPY,NPY5R
PPY,NPY5R
PYY,NPY5R
NPY,NPY1R
PYY,NPY1R
QRFP,QRFPR
QRFP,P2RY14
RLN2,RXFP1
RLN1,RXFP1
RLN3,RXFP1
INSL3,RXFP1
RLN2,RXFP2
RLN1,RXFP2
RLN3,RXFP2
INSL3,RXFP2
RLN2,RXFP3
RLN3,RXFP3
INSL5,RXFP3
UTS2,UTS2R
UTS2B,UTS2R
SYT1,STX1A
NLGN1,NRXN1
NLGN4X,NRXN1
NLGN2,NRXN1
NLGN3,NRXN1
NXPH1,NRXN1
NXPH3,NRXN1
NRCAM,ANK2
IL17A,IL17RC
IL17F,IL17RC
SLIT2,ROBO4
SEMA3E,PLXND1
HLA-C,KIR2DL1
HLA-E,KLRC2
HLA-G,KLRC1
HLA-E,KLRC1
WNK3,SLC12A6
GDF2,COMPLEX:ACVR2A_ACVRL1
BMP10,COMPLEX:ACVR2A_ACVRL1
GDF2,COMPLEX:ACVRL1_BMPR2
BMP10,COMPLEX:ACVRL1_BMPR2
CD55,ADGRE5
FGF12,SCN1A
FGF13,SCN2A
TTN,OBSCN
CLCF1,CRLF1
SEMA7A,PLXNC1
LNX1,CLDN17
LNX1,KCNA4
OMG,LINGO1
RTN4,LINGO1
RTN4,RTN4R
VCP,DERL1
AMFR,HMGCR
F12,KLKB1
PMP22,MPZ
IL17A,COMPLEX:IL17RA_IL17RC
IL17A,IL17RA
IL17F,IL17RA
HLA-G,KIR2DL4
HLA-A,KIR3DL2
HLA-F,KIR3DL2
HLA-B,KIR3DL2
HLA-C,KIR2DS1
HLA-C,KIR2DS4
HLA-A,KIR2DS4
HLA-F,KIR2DS4
HLA-C,KIR2DL2
TNFSF15,TNFRSF25
SLIT2,ROBO2
SLIT1,ROBO2
SLIT3,ROBO2
SLIT2,ROBO1
NCAM1,ROBO1
SLIT1,ROBO1
SLIT3,ROBO1
GPI,AMFR
BAG6,NCR3
NCR3LG1,NCR3
ADIPOQ,ADIPOR2
SERPING1,C1S
HAMP,SLC40A1
FSTL1,DIP2A
NTNG1,LRRC4C
TNFSF12,TNFRSF12A
TNFSF8,TNFRSF8
NTNG2,LRRC4
PKP2,DSP
IL18,IL18R1
IL37,IL18R1
IL18,IL18RAP
IL17B,IL17RB
IL25,IL17RB
LIPH,LPAR4
IL17C,IL17RE
HLA-C,KIR2DS2
HLA-A,KIR2DS2
CD9,IGSF8
FGF23,PHEX
HLA-B,KIR3DS1
CXCL17,GPR35
ENHO,GPR19
GPR15LG,GPR15
